scenario,subRegion,region,param,class,x,value,units
scenario,Africa_Eastern,Africa_Eastern,param,class,2025,34.06436595,units
scenario,Africa_Northern,Africa_Northern,param,class,2025,175.2474324,units
scenario,Africa_Southern,Africa_Southern,param,class,2025,24.32098284,units
scenario,Africa_Western,Africa_Western,param,class,2025,59.18330928,units
scenario,Argentina,Argentina,param,class,2025,57.64434756,units
scenario,Australia_NZ,Australia_NZ,param,class,2025,135.5875944,units
scenario,Brazil,Brazil,param,class,2025,146.6991227,units
scenario,Canada,Canada,param,class,2025,158.9410675,units
scenario,Central America and Caribbean,Central America and Caribbean,param,class,2025,62.3473522,units
scenario,Central Asia,Central Asia,param,class,2025,165.8975107,units
scenario,China,China,param,class,2025,3709.171739,units
scenario,Colombia,Colombia,param,class,2025,31.61709211,units
scenario,EU-12,EU-12,param,class,2025,224.0834132,units
scenario,EU-15,EU-15,param,class,2025,786.1634223,units
scenario,Europe_Eastern,Europe_Eastern,param,class,2025,83.71153748,units
scenario,Europe_Non_EU,Europe_Non_EU,param,class,2025,150.543653,units
scenario,European Free Trade Association,European Free Trade Association,param,class,2025,21.37487232,units
scenario,India,India,param,class,2025,1112.188289,units
scenario,Indonesia,Indonesia,param,class,2025,192.5419945,units
scenario,Japan,Japan,param,class,2025,324.595446,units
scenario,Mexico,Mexico,param,class,2025,150.2545904,units
scenario,Middle East,Middle East,param,class,2025,585.8051441,units
scenario,Pakistan,Pakistan,param,class,2025,60.88620614,units
scenario,Russia,Russia,param,class,2025,505.9750032,units
scenario,South Africa,South Africa,param,class,2025,138.946046,units
scenario,South America_Northern,South America_Northern,param,class,2025,16.50974989,units
scenario,South America_Southern,South America_Southern,param,class,2025,71.98339639,units
scenario,South Asia,South Asia,param,class,2025,58.5637669,units
scenario,South Korea,South Korea,param,class,2025,185.6191748,units
scenario,Southeast Asia,Southeast Asia,param,class,2025,432.0435347,units
scenario,Taiwan,Taiwan,param,class,2025,82.44535288,units
scenario,USA,USA,param,class,2025,1435.327126,units
scenario,Africa_Eastern,Africa_Eastern,param,class,2050,102.3165889,units
scenario,Africa_Northern,Africa_Northern,param,class,2050,283.0795458,units
scenario,Africa_Southern,Africa_Southern,param,class,2050,83.94292956,units
scenario,Africa_Western,Africa_Western,param,class,2050,242.3891162,units
scenario,Argentina,Argentina,param,class,2050,69.16196073,units
scenario,Australia_NZ,Australia_NZ,param,class,2050,144.5785067,units
scenario,Brazil,Brazil,param,class,2050,179.0937461,units
scenario,Canada,Canada,param,class,2050,162.847108,units
scenario,Central America and Caribbean,Central America and Caribbean,param,class,2050,80.14281312,units
scenario,Central Asia,Central Asia,param,class,2050,188.084484,units
scenario,China,China,param,class,2050,3601.026758,units
scenario,Colombia,Colombia,param,class,2050,49.7236674,units
scenario,EU-12,EU-12,param,class,2050,219.8781277,units
scenario,EU-15,EU-15,param,class,2050,739.5130704,units
scenario,Europe_Eastern,Europe_Eastern,param,class,2050,83.12821831,units
scenario,Europe_Non_EU,Europe_Non_EU,param,class,2050,180.3173747,units
scenario,European Free Trade Association,European Free Trade Association,param,class,2050,16.91815675,units
scenario,India,India,param,class,2050,2015.187549,units
scenario,Indonesia,Indonesia,param,class,2050,329.8454092,units
scenario,Japan,Japan,param,class,2050,255.3669013,units
scenario,Mexico,Mexico,param,class,2050,192.7803901,units
scenario,Middle East,Middle East,param,class,2050,758.9070908,units
scenario,Pakistan,Pakistan,param,class,2050,132.4235093,units
scenario,Russia,Russia,param,class,2050,470.954099,units
scenario,South Africa,South Africa,param,class,2050,157.3043343,units
scenario,South America_Northern,South America_Northern,param,class,2050,22.96549918,units
scenario,South America_Southern,South America_Southern,param,class,2050,110.7119617,units
scenario,South Asia,South Asia,param,class,2050,132.7609425,units
scenario,South Korea,South Korea,param,class,2050,146.7843885,units
scenario,Southeast Asia,Southeast Asia,param,class,2050,646.7769972,units
scenario,Taiwan,Taiwan,param,class,2050,75.59011752,units
scenario,USA,USA,param,class,2050,1432.23094,units
scenario,Africa_Eastern,Africa_Eastern,param,class,2075,300.7735855,units
scenario,Africa_Northern,Africa_Northern,param,class,2075,361.3318287,units
scenario,Africa_Southern,Africa_Southern,param,class,2075,270.2335486,units
scenario,Africa_Western,Africa_Western,param,class,2075,757.2512808,units
scenario,Argentina,Argentina,param,class,2075,76.61349957,units
scenario,Australia_NZ,Australia_NZ,param,class,2075,165.5822421,units
scenario,Brazil,Brazil,param,class,2075,216.818052,units
scenario,Canada,Canada,param,class,2075,178.3914623,units
scenario,Central America and Caribbean,Central America and Caribbean,param,class,2075,107.6588634,units
scenario,Central Asia,Central Asia,param,class,2075,183.047562,units
scenario,China,China,param,class,2075,2900.466303,units
scenario,Colombia,Colombia,param,class,2075,71.74076379,units
scenario,EU-12,EU-12,param,class,2075,208.9294932,units
scenario,EU-15,EU-15,param,class,2075,796.7618788,units
scenario,Europe_Eastern,Europe_Eastern,param,class,2075,83.04924785,units
scenario,Europe_Non_EU,Europe_Non_EU,param,class,2075,201.5867402,units
scenario,European Free Trade Association,European Free Trade Association,param,class,2075,19.37281858,units
scenario,India,India,param,class,2075,2657.572722,units
scenario,Indonesia,Indonesia,param,class,2075,411.827075,units
scenario,Japan,Japan,param,class,2075,209.2436151,units
scenario,Mexico,Mexico,param,class,2075,246.2078765,units
scenario,Middle East,Middle East,param,class,2075,915.1378939,units
scenario,Pakistan,Pakistan,param,class,2075,221.6260599,units
scenario,Russia,Russia,param,class,2075,431.1953681,units
scenario,South Africa,South Africa,param,class,2075,171.7075616,units
scenario,South America_Northern,South America_Northern,param,class,2075,34.27857479,units
scenario,South America_Southern,South America_Southern,param,class,2075,147.7907971,units
scenario,South Asia,South Asia,param,class,2075,241.3180862,units
scenario,South Korea,South Korea,param,class,2075,112.2429011,units
scenario,Southeast Asia,Southeast Asia,param,class,2075,855.2416779,units
scenario,Taiwan,Taiwan,param,class,2075,72.85243306,units
scenario,USA,USA,param,class,2075,1540.304897,units
scenario,Africa_Eastern,Africa_Eastern,param,class,2100,564.3166239,units
scenario,Africa_Northern,Africa_Northern,param,class,2100,393.5246599,units
scenario,Africa_Southern,Africa_Southern,param,class,2100,500.6542341,units
scenario,Africa_Western,Africa_Western,param,class,2100,1333.545848,units
scenario,Argentina,Argentina,param,class,2100,77.41513479,units
scenario,Australia_NZ,Australia_NZ,param,class,2100,161.583409,units
scenario,Brazil,Brazil,param,class,2100,228.3044412,units
scenario,Canada,Canada,param,class,2100,177.5992654,units
scenario,Central America and Caribbean,Central America and Caribbean,param,class,2100,129.322618,units
scenario,Central Asia,Central Asia,param,class,2100,167.123637,units
scenario,China,China,param,class,2100,1972.702477,units
scenario,Colombia,Colombia,param,class,2100,81.71912577,units
scenario,EU-12,EU-12,param,class,2100,175.6724303,units
scenario,EU-15,EU-15,param,class,2100,845.6088923,units
scenario,Europe_Eastern,Europe_Eastern,param,class,2100,77.7536006,units
scenario,Europe_Non_EU,Europe_Non_EU,param,class,2100,199.2279518,units
scenario,European Free Trade Association,European Free Trade Association,param,class,2100,24.12006687,units
scenario,India,India,param,class,2100,2527.845469,units
scenario,Indonesia,Indonesia,param,class,2100,395.5839932,units
scenario,Japan,Japan,param,class,2100,166.7513162,units
scenario,Mexico,Mexico,param,class,2100,278.0002971,units
scenario,Middle East,Middle East,param,class,2100,992.0339129,units
scenario,Pakistan,Pakistan,param,class,2100,295.0624497,units
scenario,Russia,Russia,param,class,2100,384.0802712,units
scenario,South Africa,South Africa,param,class,2100,160.0096603,units
scenario,South America_Northern,South America_Northern,param,class,2100,43.19140205,units
scenario,South America_Southern,South America_Southern,param,class,2100,159.1727473,units
scenario,South Asia,South Asia,param,class,2100,331.1993445,units
scenario,South Korea,South Korea,param,class,2100,87.13395756,units
scenario,Southeast Asia,Southeast Asia,param,class,2100,921.4459993,units
scenario,Taiwan,Taiwan,param,class,2100,64.60464955,units
scenario,USA,USA,param,class,2100,1575.154927,units
