scenario,subRegion,region,param,class,x,value,units
scenario,Africa_Eastern,Africa_Eastern,param,class,2025,1.93958,units
scenario,Africa_Northern,Africa_Northern,param,class,2025,0.219732,units
scenario,Africa_Southern,Africa_Southern,param,class,2025,1.03788,units
scenario,Africa_Western,Africa_Western,param,class,2025,3.55683,units
scenario,Argentina,Argentina,param,class,2025,0.117646,units
scenario,Australia_NZ,Australia_NZ,param,class,2025,0.383868,units
scenario,Brazil,Brazil,param,class,2025,2.89826,units
scenario,Canada,Canada,param,class,2025,0.695304,units
scenario,Central America and Caribbean,Central America and Caribbean,param,class,2025,0.464646,units
scenario,Central Asia,Central Asia,param,class,2025,0.109334,units
scenario,China,China,param,class,2025,4.66671,units
scenario,Colombia,Colombia,param,class,2025,0.162222,units
scenario,EU-12,EU-12,param,class,2025,1.4739,units
scenario,EU-15,EU-15,param,class,2025,7.62197,units
scenario,Europe_Eastern,Europe_Eastern,param,class,2025,0.235379,units
scenario,Europe_Non_EU,Europe_Non_EU,param,class,2025,0.451091,units
scenario,European Free Trade Association,European Free Trade Association,param,class,2025,0.394071,units
scenario,India,India,param,class,2025,5.17181,units
scenario,Indonesia,Indonesia,param,class,2025,0.609307,units
scenario,Japan,Japan,param,class,2025,0.675742,units
scenario,Mexico,Mexico,param,class,2025,0.183578,units
scenario,Middle East,Middle East,param,class,2025,0.106582,units
scenario,Pakistan,Pakistan,param,class,2025,0.302203,units
scenario,Russia,Russia,param,class,2025,0.594752,units
scenario,South Africa,South Africa,param,class,2025,0.184533,units
scenario,South America_Northern,South America_Northern,param,class,2025,0.00927443,units
scenario,South America_Southern,South America_Southern,param,class,2025,0.599191,units
scenario,South Asia,South Asia,param,class,2025,0.343921,units
scenario,South Korea,South Korea,param,class,2025,0.363375,units
scenario,Southeast Asia,Southeast Asia,param,class,2025,2.69308,units
scenario,Taiwan,Taiwan,param,class,2025,0.0764971,units
scenario,USA,USA,param,class,2025,3.98048,units
scenario,Africa_Eastern,Africa_Eastern,param,class,2050,7.18816,units
scenario,Africa_Northern,Africa_Northern,param,class,2050,0.496243,units
scenario,Africa_Southern,Africa_Southern,param,class,2050,2.70543,units
scenario,Africa_Western,Africa_Western,param,class,2050,13.3204,units
scenario,Argentina,Argentina,param,class,2050,0.280375,units
