"Units","scenario","region","year","value"
"Million1990US$","Reference","Africa_Eastern",2075,3490100
"Million1990US$","Reference","Africa_Northern",2075,3008600
"Million1990US$","Reference","Africa_Southern",2075,2239510
"Million1990US$","Reference","Africa_Western",2075,10125200
"Million1990US$","Reference","Argentina",2075,984459
"Million1990US$","Reference","Australia_NZ",2075,3336930
"Million1990US$","Reference","Brazil",2075,4321010
"Million1990US$","Reference","Canada",2075,3223430
"Million1990US$","Reference","Central America and Caribbean",2075,1477840
"Million1990US$","Reference","Central Asia",2075,1192920
"Million1990US$","Reference","China",2075,23223900
"Million1990US$","Reference","Colombia",2075,1202870
"Million1990US$","Reference","EU-12",2075,2752790
"Million1990US$","Reference","EU-15",2075,26080600
"Million1990US$","Reference","Europe_Eastern",2075,483067
"Million1990US$","Reference","Europe_Non_EU",2075,3109910
"Million1990US$","Reference","European Free Trade Association",2075,1943290
"Million1990US$","Reference","India",2075,17725500
"Million1990US$","Reference","Indonesia",2075,4965270
"Million1990US$","Reference","Japan",2075,5722770
"Million1990US$","Reference","Mexico",2075,3289830
"Million1990US$","Reference","Middle East",2075,7219160
"Million1990US$","Reference","Pakistan",2075,1727110
"Million1990US$","Reference","Russia",2075,2877810
"Million1990US$","Reference","South Africa",2075,1036830
"Million1990US$","Reference","South America_Northern",2075,270533
"Million1990US$","Reference","South America_Southern",2075,2018690
"Million1990US$","Reference","South Asia",2075,2323980
"Million1990US$","Reference","South Korea",2075,1947690
"Million1990US$","Reference","Southeast Asia",2075,6723950
"Million1990US$","Reference","Taiwan",2075,668644
"Million1990US$","Reference","USA",2075,24382300
