"Units","scenario","region","year","value"
"thous","Reference","Africa_Eastern",2075,639201
"thous","Reference","Africa_Northern",2075,249970
"thous","Reference","Africa_Southern",2075,367099
"thous","Reference","Africa_Western",2075,1174800
"thous","Reference","Argentina",2075,50559
"thous","Reference","Australia_NZ",2075,48016
"thous","Reference","Brazil",2075,218264
"thous","Reference","Canada",2075,53899
"thous","Reference","Central America and Caribbean",2075,105638
"thous","Reference","Central Asia",2075,95122
"thous","Reference","China",2075,1046470
"thous","Reference","Colombia",2075,62972
"thous","Reference","EU-12",2075,82569
"thous","Reference","EU-15",2075,444778
"thous","Reference","Europe_Eastern",2075,46230
"thous","Reference","Europe_Non_EU",2075,117659
"thous","Reference","European Free Trade Association",2075,18786
"thous","Reference","India",2075,1771810
"thous","Reference","Indonesia",2075,272274
"thous","Reference","Japan",2075,93496
"thous","Reference","Mexico",2075,151541
"thous","Reference","Middle East",2075,422733
"thous","Reference","Pakistan",2075,340620
"thous","Reference","Russia",2075,134301
"thous","Reference","South Africa",2075,67095
"thous","Reference","South America_Northern",2075,43147
"thous","Reference","South America_Southern",2075,100995
"thous","Reference","South Asia",2075,350761
"thous","Reference","South Korea",2075,39131
"thous","Reference","Southeast Asia",2075,487847
"thous","Reference","Taiwan",2075,23557
"thous","Reference","USA",2075,443787
